Station city,Station country,Year,Temperature mean,Temperature dev.,Temperature mean max.,Temperature mean min.,Temperature absolute max.,Temperature absolute min.,Precipitation total (mm),Precipitation %,Precipitation no. of days >=1mm,Vapor pressure (hPa),Air pressure at sea level (NN),Sunshine dur. (h),Sunshine dur. (%)
Podgorica,MNE,2011,17,1.7,22.8,11.8,41.2,-3.1,884,53,72,,,2544,103
Skopje,MKD,2011,12.9,,18.9,7.7,39,-10,275,,46,10.1,,2343,
Ljubljana,SVN,2011,11.8,2,16.7,7,36,-7.6,998,72,78,,,2236,131
Zagreb,HRV,2011,13,1.7,17.8,9.2,37.6,-5.8,521,59,61,10.5,1018.7,2120,118
Split,HRV,2011,17.6,1.7,21,14.3,36.8,-0.1,584,71,55,11.3,1016.2,2812,109
Mostar,BIH,2011,16.1,1.6,21.7,11.5,40.4,-1.6,872,61,74,11.6,1017.2,2630,114
Sarajevo,BIH,2011,10.4,0.9,16.8,5.7,37.9,-10.3,693,76,92,8.9,1018.7,2056,115
Cluj,ROU,2011,8.8,0.6,14.9,3.9,33.7,-18.6,512,93,80,9.6,1019.3,2114,105
Timisoara,ROU,2011,11.4,0.8,17.7,6.2,37.7,-15.3,392,66,63,10.2,,2046,96
Sibiu,ROU,2011,9.2,0.7,15.7,3.5,33.8,-21.4,469,75,68,9.3,1019.4,2108,115
Sulina,ROU,2011,11.7,0.4,14.4,9.3,31.7,-8.6,240,85,40,12.3,1017.7,2400,114
Bukarest,ROU,2011,10.5,-0.1,17.1,4.9,36.2,-17.1,469,79,56,10.3,1018.8,2129,101
Constanta,ROU,2011,12,0.5,15.8,8.7,33.9,-10.4,308,78,49,11.7,1018.3,2373,105
Varna,BGR,2011,12.3,0.3,17.1,8.9,,,575,120,65,11.9,1017.9,2450,123
Sofia,BGR,2011,10.3,0.5,16.2,5.3,35,-14.8,405,72,55,9.4,1018.6,2365,117
Triest,ITA,2011,15.7,1.5,20,12,34.8,-1.8,640,61,61,12.4,1017.3,2471,117
Pisa,ITA,2011,15.3,1.3,20.8,10.2,38.5,-3.2,501,55,63,,,2732,120
Termoli,ITA,2011,17.5,,20.4,14.9,39,2.4,254,66,44,15.9,1016.2,2601,117
Grazzanise,ITA,2011,15.9,0.8,22.1,10.2,36.6,-5,675,75,59,15.2,1016.8,2665,112
Messina,ITA,2011,19.2,0.9,22.8,16.4,36,3,910,109,83,17.5,1016.1,2725,109
Trapani/Birgi,ITA,2011,17.6,-0.1,21.9,13.1,38,1.4,388,87,66,,,2715,102
Luqa,MLT,2011,18.9,0.3,22.6,15.2,37.7,3.8,593,107,69,15.7,1016.6,2983,101
Kerkyra,GRC,2011,18.1,0.7,22.5,12.6,,,796,73,71,15.2,1015.2,2799,110
Larissa,GRC,2011,16,0.5,21.3,9.5,,,260,59,50,11.6,1017.2,2442,101
Athen (Observat.),GRC,2011,18,0.4,22.7,14.5,,,469,124,44,12.3,1016.3,2915,103
Heraklion/Kreta,GRC,2011,18.7,0.2,21.3,15.4,,,531,106,66,16.2,1014.6,2760,102
Murmansk,RUS,2011,1.9,2,5.3,-0.9,30.6,-31.6,525,110,113,6.3,1008.7,1452,110
Kanin Nos,RUS,2011,0.9,2,2.9,-1.9,,,337,78,90,6.4,1009.1,990,89
Archangelsk,RUS,2011,2.7,1.9,7,-1.4,,,503,92,112,7.1,1011.7,1729,105
Tallinn,EST,2011,6.9,1.8,10.6,3.4,31.2,-25.8,776,116,127,9.2,1012.8,2099,119
St. Petersburg,RUS,2011,6.8,1.9,10.5,3.4,31.5,-26.8,696,112,126,9,1013.1,1537,94
Klajpeda,LTU,2011,8.5,1.4,11.7,5.4,,,935,127,131,10.2,1015.3,2051,113
Daugavpils,LVA,2011,6.9,1.4,11.2,2.6,,,487,77,108,9.1,1015.7,1976,118
Vilnius,LTU,2011,7.5,1.5,11.6,3.7,,,635,93,105,9.1,1016.5,1893,119
Minsk,BLR,2011,7.5,1.7,11.3,4,30,-21,615,91,98,8.9,1016.8,1785,102
Kasan,RUS,2011,4.3,0.5,7.9,1.1,,,727,133,121,7.5,1015.9,1931,100
Moskau,RUS,2011,6.7,1.8,10.4,3,33.8,-26.4,595,87,113,9,1015.6,,
Gomel,BLR,2011,8,1.6,12.2,4.3,32.6,-19.8,503,86,89,9.2,1017.4,2026,111
Kiew,UKR,2011,9.2,1.5,13.5,5.5,32.2,-17.3,580,89,79,9,1018.2,,
Odessa,UKR,2011,11,0.9,14.8,7.5,33.8,-11.2,392,85,55,10.8,1018.1,2383,109
Kharkiv(Charkow),UKR,2011,8.5,1,12.5,4.5,35.7,-21,494,95,75,8.7,1017.8,2170,121
Rostow am Don,RUS,2011,9.7,0.1,13.8,5.7,37.9,-17.7,584,101,79,,,,
Yerevan,ARM,2011,11.8,-0.3,17.6,7.8,,,367,133,62,11.8,,2432,98
Jan Mayen,NOR,2010,0.5,1.9,2.2,-1.2,9.8,-13.3,491,71,105,5.6,1014.1,,
Svalbard/Spitzb.,NOR,2010,-4.1,2.3,-1.7,-6.4,13.3,-24.7,188,103,54,4,1013.5,,
Tromsoe,NOR,2010,2.4,-0.4,5.2,-0.2,21.5,-17.6,1071,110,151,6.1,1010.7,,
Bodoe,NOR,2010,4.2,-0.4,6.7,1.8,23.1,-37.2,934,92,161,6.8,1011.1,1296,102
Bergen,NOR,2010,6.4,-1.4,10,3.4,,,1639,84,165,7.4,1011.9,,
Oslo,NOR,2010,4.8,-0.9,8.7,1.6,,,738,96,108,7.5,1012.5,,
Östersund,SWE,2010,1.2,-1.3,4.8,-2,25.9,-32.8,,,,6.4,1012.6,1595,104
Stockholm,SWE,2010,6,-0.6,9.5,2.9,32.5,-21,540,100,97,8.5,1012.3,1864,102
Jönköping,SWE,2010,4.5,-0.8,8.5,0.2,33.4,-23.2,846,112,127,8.1,1012.4,,
Visby,SWE,2010,6.2,-0.8,9.6,2.8,33.7,-20,657,127,109,9.2,1012.3,1926,102
Sodankylä,FIN,2010,-1.1,0,3.4,-5.6,27.7,-38.6,516,103,94,6.1,1012.7,,
Kajaani,FIN,2010,1,-0.4,5,-3.4,34.5,-36.6,,,,6.9,1013.2,,
Jyväskylä,FIN,2010,2.2,-0.5,6.4,-2.4,34.2,-30.1,554,87,114,7.3,1013.2,,
Helsinki,FIN,2010,4.5,0,8.1,0.8,33.7,-27.7,597,92,112,7.9,1013.1,,
Lerwick,GBR,2010,6.8,-0.1,8.6,4.9,17.5,-7.4,1085,89,197,8.9,1011.6,1138,110
Aberdeen,GBR,2010,7.8,-0.1,10.9,4.7,23.5,-16.8,733,94,135,8.9,1012.4,1206,89
Waddington,GBR,2010,9.1,-0.1,12.4,5.8,27.7,-10.4,641,107,127,9.4,1013.5,1520,99
London,GBR,2010,10.7,0.1,14.3,6.9,31.2,-9.4,520,87,106,9.9,1014,1371,90
Camborne,GBR,2010,10.2,-0.2,12.6,7.6,22.5,-3.8,909,84,127,10.8,1014.5,1808,110
Valentia,IRL,2010,10.1,-0.4,13.2,7,23.6,-7.6,1333,94,166,10.6,1014.1,1696,137
Dublin,IRL,2010,8.2,-1.3,12.3,4.2,24,-12.1,672,92,131,9.8,1013.6,1717,119
Belmullet,IRL,2010,9.5,-0.1,12.6,6.4,22.4,-7.5,1111,98,185,10.7,1013.2,1626,127
Reykjavik,ISL,2010,5.9,1.6,9.1,3.5,21.2,-10.7,594,74,109,7.5,1011.4,1527,120
Akureyri,ISL,2010,4.3,1.1,7.8,1.6,,,521,107,92,6.8,1012.7,1098,105
Egedesminde,GRL,2010,0.1,5,,,,,,,,5.5,1012.6,,
Nuuk,GRL,2010,2.6,4.1,,,,,,,,6.2,1010.1,,
Danmarkshavn,GRL,2010,-11.3,1,,,,,,,,2.4,1018.6,,
P. Christian Sund,GRL,2010,3.4,2.8,,,,,,,,6.3,1011.1,,
Thorshavn/Färöer,DNK,2010,6.3,-0.1,,,,,1166,80,171,8.4,1011.7,,
Kopenhagen,DNK,2010,7.9,-0.7,,,,,566,89,97,9,1012.7,,
De Bilt,NLD,2010,9.1,-0.2,13,4.9,34.4,-11.1,824,102,123,9.9,1013.6,1754,119
Brüssel,BEL,2010,9.7,-0.2,13.4,5.9,33.9,-8.2,915,114,118,9.7,1013.8,1557,105
Luxemburg,LUX,2010,8.6,0.3,12,5.1,30.6,-12,919,105,124,9,1014.3,1786,110
Säntis,CHE,2010,-2.1,-0.1,0.3,-4.4,,,2389,89,174,4.7,,1631,97
Genf,CHE,2010,10.1,0.5,14.7,5.4,34.6,-10.8,812,85,104,9.6,1014.6,1780,105
Brest,FRA,2010,10.5,-0.4,14.3,7.1,27.1,-4.3,1309,118,158,10.9,1014.8,1738,99
Paris,FRA,2010,10.7,-0.2,15,6.7,34,-13.3,706,114,111,10,1014.5,1867,107
Strassburg,FRA,2010,10,0,14.6,6,36.1,-18.4,797,130,126,9.9,1014.6,1597,97
Bordeaux,FRA,2010,12.8,0.1,17.9,8.5,36.7,-6,814,88,120,11.3,1014.9,2196,105
Toulouse,FRA,2010,13,0.1,17.9,8.6,40,-7.6,599,91,90,10.8,1015,2127,104
Marseille,FRA,2010,14.7,-0.1,19.6,10.3,34.7,-6.2,611,112,73,11.6,1012.6,2780,98
Ajaccio,FRA,2010,15.3,0.5,20.1,10.7,35.1,-2.9,861,133,96,13.7,1012.5,2655,97
La Coruna,ESP,2010,14.8,0.7,18.1,11.6,30.8,0.3,1101,111,130,12.8,1014.5,2158,110
Valladolid,ESP,2010,12.6,0.5,18.3,6.8,37.6,-7.8,532,120,85,9.5,1013.6,2655,104
Barcelona,ESP,2010,15.8,0.5,19.9,11.7,37.4,-2,539,82,53,12.6,1013.6,,
Madrid,ESP,2010,14.7,0.7,20.1,9.3,37.7,-5.5,562,122,75,,,2828,101
Palma de Mallorca,ESP,2010,16.3,0.4,21.7,10.8,36,-2.5,560,132,56,14.6,1014.1,2667,99
Alicante,ESP,2010,18,0.1,22.9,13,40.4,-2,327,92,49,15.6,1014.1,,
Almeria,ESP,2010,19,0.5,23,15.1,40.3,2.9,363,179,40,,,3040,104
Gibraltar,GBR,2010,18.7,0.5,21.4,16.1,,,1899,245,84,,1014.8,2560,96
Lajes/Azoren,PRT,2010,17.4,0.4,20.2,15.3,31.5,5,1420,112,156,16.9,1017.2,1856,97
Santa Maria/Azoren,PRT,2010,17.9,0.3,,,,,1365,176,130,,,2075,107
Funchal / Madeira,PRT,2010,19.7,0.7,23,17.3,,,1508,254,89,15.7,1016.9,2239,104
Lissabon,PRT,2010,17.1,0.3,21.4,13.9,39.4,2.9,1362,181,96,,,2793,100
Helgoland,DEU,2010,8.5,-0.6,10.4,6.7,25.8,-6.6,725,101,127,9.9,1013.1,1706,101
Hamburg-Fuhlsb.,DEU,2010,8.2,-0.5,11.9,4.1,34.6,-16.5,714,93,131,9.5,1013.3,1524,98
Greifswald,DEU,2010,7.7,-0.4,11.3,4.1,35.6,-18.3,849,150,129,9.4,1013.2,1562,90
Berlin-Tegel,DEU,2010,8.8,-0.5,12.4,4.7,37.7,-18.3,547,98,95,9.2,1013.4,1574,97
Essen,DEU,2010,9.1,-0.5,12.5,5.7,34.1,-11.5,893,96,124,9.6,1013.9,1486,102
Dresden,DEU,2010,8.1,-0.7,11.7,4.3,34.6,-15.8,886,127,119,9.2,1013.8,1649,104
Frankfurt/Main,DEU,2010,9.8,0.1,13.9,5.6,36.4,-14.6,668,102,120,9.6,1014.2,1694,107
Stuttgart,DEU,2010,8.8,0.3,13,4.4,34.6,-14.9,635,88,121,9,1014.5,1650,98
München (Stadt),DEU,2010,8.8,-0.4,13,5.1,33.7,-10.9,1018,103,134,9.1,1014.3,1634,97
Zugspitze,DEU,2010,-5.3,-0.5,-2.6,-7.7,14.8,-25.3,1951,97,196,3.8,,1795,97
Wien,AUT,2010,9.9,0.2,13.7,6.9,,,851,140,108,10,1013.8,1877,98
Innsbruck,AUT,2010,8.6,0.5,14,4.6,,,848,93,117,9.2,1014.3,1932,101
Sonnblick,AUT,2010,-5.3,0.4,-3.4,-6.9,,,1817,112,199,4,,1698,102
Prag,CZE,2010,7.7,-0.2,11.9,3.6,34.6,-20.4,641,122,97,9,1014.2,1624,98
Brünn,CZE,2010,8.9,0.2,13,4.9,33.8,-18.3,700,143,103,9.9,1014.1,1630,96
Sliac,SVK,2010,8.8,0.9,14.3,4.3,35.4,-18.8,1066,155,116,9.8,1013.5,1780,107
Poprad,SVK,2010,6.3,0.4,11.5,1.5,30.9,-23.9,997,172,126,8.4,,1879,104
Elbing,POL,2010,7.3,-0.4,11.2,3.6,,,628,91,117,9.3,1013.2,1890,123
Warschau,POL,2010,8,0.2,12.1,4.2,35,-23.4,798,154,118,9.6,1013.6,2205,96
Breslau,POL,2010,8.2,-0.2,12.6,3.7,,,693,117,112,9.6,1013.9,1800,120
Budapest,HUN,2010,10.6,0.2,15,6.8,,,874,169,111,10.7,1014.2,1924,98
Debrecen,HUN,2010,10.5,0.7,15.3,6.3,,,846,150,118,11,1014,2028,102
Pecs,HUN,2010,10.6,0.2,14.9,6.7,,,981,158,115,10.9,1014.7,1904,91
Belgrad,SRB,2010,13,1.2,17.5,9.2,38.4,-9.6,866,127,117,11.5,1013.8,1995,99
Skopje,MKD,2010,13.5,,19,8.6,39,-11.6,687,,102,11,,2094,
Ljubljana,SVN,2010,10.7,0.9,14.8,6.9,35.9,-11.9,1799,129,146,10.7,1014.3,1726,101
Zagreb,HRV,2010,12.1,0.8,16.2,8.8,35.6,-9.6,1156,131,114,10.8,1013.7,1762,98
Split,HRV,2010,16.3,0.5,19.6,13.1,35.7,-2.6,1125,136,117,11.7,1012.1,2494,96
Mostar,BIH,2010,15.1,0.6,20.5,10.8,39.3,-4.2,2440,171,134,11.7,1013.1,2228,97
Sarajevo,BIH,2010,10.5,1.1,16.2,6.2,36.8,-13.5,1186,129,128,9.5,1013.9,,
Cluj,ROU,2010,9.3,1,14.9,5,33.8,-18.1,812,148,115,10.9,1014.4,1728,86
Timisoara,ROU,2010,11.6,0.9,16.8,6.9,35.9,-12.9,795,134,114,11.6,,1875,88
Sibiu,ROU,2010,9.8,1.3,15.8,4.8,34,-24.2,721,115,110,10.6,1014.5,1755,96
Sulina,ROU,2010,12.7,1.3,15.2,10.4,34.4,-18.7,313,111,58,14,1013.8,2312,110
Bukarest,ROU,2010,10.8,0.2,17.3,5.6,36.8,-24.8,737,124,87,10.6,1014.7,2020,96
Constanta,ROU,2010,13.1,1.6,16.9,9.9,34.7,-17.8,546,138,79,13.2,1014.2,2296,101
Varna,BGR,2010,13.4,1.4,18,10,,,653,136,92,13.2,1013.8,2388,120
Sofia,BGR,2010,11,1.2,16.5,6.5,35,-15.2,719,128,115,10.4,1014,2058,102
Triest,ITA,2010,14.7,0.5,18.2,11.5,35.2,-3.2,1372,131,124,12.3,1012.7,1930,91
Pisa,ITA,2010,14.5,0.4,19.1,9.9,33.8,-4.4,1217,135,102,,,2285,101
Termoli,ITA,2010,17,,20,14.3,35.4,-0.6,352,91,75,,,2377,107
Grazzanise,ITA,2010,16,0.9,21.3,11.1,36,-6,1053,117,108,16.3,1012.7,2374,100
Messina,ITA,2010,19.1,0.8,22.7,16,36.4,3.6,1093,131,100,,,2472,99
Trapani/Birgi,ITA,2010,18.7,1,,,,,476,106,78,,,2516,94
Luqa,MLT,2010,19.3,0.7,22.6,16.1,38.3,4.6,513,93,59,16.2,1014,2957,100
Kerkyra,GRC,2010,18.5,1.1,22,13.9,,,1444,132,97,15.1,1012.3,2529,99
Larissa,GRC,2010,16.9,1.4,22.1,10.7,,,499,113,73,12.5,1013.5,2425,100
Athen (Observat.),GRC,2010,19.6,1.9,24.1,16.1,,,288,76,34,13.5,1013.3,2799,99
Heraklion/Kreta,GRC,2010,20.4,1.9,23.8,16.5,,,432,86,43,16.9,1012.6,2938,109
Murmansk,RUS,2010,0.3,0.4,3.7,-2.6,25.5,-29.3,627,131,132,6,1011.8,1274,96
Archangelsk,RUS,2010,0.9,0.1,5.3,-3.2,,,700,128,125,7.2,1014.1,1650,101
Tallinn,EST,2010,4.9,-0.2,8.5,1.5,32.3,-26.1,748,112,138,8.5,1012.9,1778,101
St. Petersburg,RUS,2010,5.6,0.6,8.9,2.4,37.1,-25.4,812,131,136,8.5,1014,1544,94
Klajpeda,LTU,2010,6.7,-0.3,10.1,3.5,,,1032,140,145,10,1012.8,1923,106
Daugavpils,LVA,2010,5.7,0.2,9.9,1.5,,,750,118,136,9.2,1014,1791,107
Vilnius,LTU,2010,6.5,0.5,10.4,2.9,34.3,-25,961,141,139,9.4,1013.9,1688,106
Minsk,BLR,2010,6.9,1.1,10.6,3.6,34,-23.7,830,123,136,9.4,1014.4,1605,91
Kasan,RUS,2010,5.7,1.9,10.2,1.8,,,525,96,92,7.3,1018.9,2333,121
Moskau,RUS,2010,6.5,1.6,10.7,2.4,38.2,-25.9,602,88,106,9.3,1016.6,,
Gomel,BLR,2010,8.3,1.8,12.8,4.3,38.9,-22.6,667,113,103,9.4,1015.1,1952,107
Kiew,UKR,2010,9.4,1.7,13.8,5.5,39.2,-20.8,603,93,102,9.5,1015.1,,
Odessa,UKR,2010,11.8,1.7,15.3,8.6,38,-20.5,709,153,89,12.1,1014.4,2263,104
Kharkiv(Charkow),UKR,2010,9.8,2.3,14.2,5.7,39.8,-26,596,115,91,9.1,1016.3,2058,115
Rostow am Don,RUS,2010,11.6,2,15.9,7.5,40.1,-21.1,548,95,84,,,,
Yerevan,ARM,2010,14.5,2.4,20.7,10.2,,,495,179,70,12.4,,,
Jan Mayen,NOR,2009,0.8,2.2,2.7,-1,11.5,-13.3,639,92,130,5.8,1009.2,,
Svalbard/Spitzb.,NOR,2009,-3.7,2.7,-1.2,-6.3,14.8,-31.8,153,84,50,4.1,1010.7,,
Tromsoe,NOR,2009,3.3,0.5,6,0.7,24.9,-15.3,923,95,134,6.5,1009.1,,
Bodoe,NOR,2009,5.5,1,8,3.2,25.2,-11.3,1040,102,132,7,1009.1,1390,109
Bergen,NOR,2009,8.6,0.8,11.9,5.8,,,2093,107,182,8.4,1010.2,,
Oslo,NOR,2009,6.7,0.9,10.9,3.2,,,938,122,119,7.8,1011.7,,
Östersund,SWE,2009,3.3,0.8,6.7,0.3,27.2,-27.1,,,,6.9,1011.1,1614,105
Stockholm,SWE,2009,7.7,1.1,11.2,4.6,30.6,-12.6,523,97,103,8.9,1012.4,1889,104
Jönköping,SWE,2009,6.3,1,10.3,2.1,28.7,-19.7,733,97,142,8.4,1012.7,,
Visby,SWE,2009,7.4,0.5,10.4,4.3,27.3,-16.7,641,124,114,9.1,1013,2141,114
Sodankylä,FIN,2009,0.5,1.5,5,-4.1,28.7,-33,501,100,94,6.1,1011.7,1538,98
Kajaani,FIN,2009,2.3,1,6.2,-2,27.3,-29.2,,,,6.8,1012.4,,
Jyväskylä,FIN,2009,3.5,0.9,7.5,-1,28.3,-26.3,489,77,98,7.1,1012.8,1663,104
Helsinki,FIN,2009,5.5,1,9.1,2,28.9,-21.8,633,97,109,8,1013.2,1744,98
Lerwick,GBR,2009,8.2,1.3,10,6.4,21.7,-4.6,1281,105,210,9.7,1008.1,1227,118
Aberdeen,GBR,2009,8.9,1,12.1,5.7,26.3,-12.6,1014,130,148,9.5,1009.4,1295,96
Waddington,GBR,2009,10.3,1,13.6,6.8,27.8,-5.1,559,93,114,10.1,1012.8,1545,101
London,GBR,2009,11.8,1.2,15.6,7.9,31.2,-6.8,683,114,116,10.5,1013.6,1509,100
Camborne,GBR,2009,11,0.6,13.3,8.6,26.2,-4.9,1192,110,156,11.3,1014,1595,97
Valentia,IRL,2009,11,0.5,13.6,8.4,26.1,-3.6,2177,153,231,11,1012,1323,107
Dublin,IRL,2009,9.5,-0.1,13.1,5.8,24.5,-6.6,917,125,151,10.4,1011.3,1559,108
Belmullet,IRL,2009,10.5,0.8,13.3,7.7,23.9,-2.7,1328,117,219,11.3,1009.9,1513,118
Reykjavik,ISL,2009,5.6,1.2,8.5,3.1,19,-9.7,714,90,138,7.2,1004.4,1491,118
Akureyri,ISL,2009,4.1,0.8,7.5,1.5,,,654,134,116,6.5,1006.6,1052,101
Danmarkshavn,GRL,2009,-11.5,0.8,,,,,,,,2.5,1015.9,,
Angmagssalik,GRL,2009,-0.2,1.5,2.4,-2.3,18.2,-20,782,84,102,4.7,1009.1,,
Thorshavn/Färöer,DNK,2009,7.6,1.2,,,,,1599,109,202,9,1006.5,,
Kopenhagen,DNK,2009,9.6,1,,,,,528,83,98,9.3,1013.4,,
De Bilt,NLD,2009,10.5,1.1,14.5,6.2,33.8,-11.5,777,97,132,10.7,1014.1,1839,124
Brüssel,BEL,2009,11,1.1,15,7.1,33.4,-12.8,764,96,125,10.1,1014.8,1735,117
Luxemburg,LUX,2009,9.9,1.6,13.7,6.2,34,-14.9,892,102,120,9.9,1015.5,1880,115
Säntis,CHE,2009,-1,1.1,1.6,-3.3,,,2468,91,173,4.9,,1649,98
Genf,CHE,2009,11.2,1.6,16,6.5,36.2,-12.5,886,93,99,10,1016.1,2017,119
Brest,FRA,2009,11.3,0.4,15,8.1,27.6,-7.2,1367,123,172,11.8,1015.1,1579,90
Paris,FRA,2009,11.7,0.8,16.3,7.4,35.8,-12.5,561,91,103,10.6,1015.6,,
Strassburg,FRA,2009,11.1,1.1,16.1,6.7,35,-16.5,642,105,115,10.7,1015.9,1810,110
Bordeaux,FRA,2009,13.8,1.1,19,9.4,36.2,-6.4,912,99,116,12,1016.3,2252,108
Toulouse,FRA,2009,14.1,1.2,19.2,9.6,38.9,-5.3,585,89,90,11.3,1016.3,2090,102
Marseille,FRA,2009,15.9,1.1,21.1,11.3,36.1,-4.1,817,150,57,12.2,1014,2947,104
Ajaccio,FRA,2009,16,1.2,21.4,10.9,40.2,-2.7,651,101,65,13.7,1013.9,2943,107
La Coruna,ESP,2009,15.1,1,18.3,11.9,30,1,1082,109,138,13,1016.2,2163,110
Valladolid,ESP,2009,13.4,1.4,19.6,7.2,37,-9.6,337,76,64,9.3,1014.9,2860,112
Barcelona,ESP,2009,16.7,1.4,20.8,12.6,35.6,-2.7,370,56,41,13.2,1014.9,,
Madrid,ESP,2009,15.8,1.7,21.7,9.8,38.1,-7.5,325,70,54,9.4,1014.7,3068,110
Palma de Mallorca,ESP,2009,17,1.1,22.5,11.4,37.5,-3.1,559,132,68,15,1015.5,2749,102
Alicante,ESP,2009,18.8,1,23.8,13.8,38.2,0,512,144,48,16,1015.4,,
Almeria,ESP,2009,19.2,0.7,23.1,15.3,38.5,3.5,262,129,33,14.8,1015.6,3153,107
Gibraltar,GBR,2009,18.5,0.3,21.3,15.7,,,918,119,55,,1016.3,2893,108
Lajes/Azoren,PRT,2009,17.5,0.5,20.4,15.1,30.6,6.6,1043,82,124,16.1,1020.3,1971,102
Santa Maria/Azoren,PRT,2009,18.1,0.6,,,,,629,81,97,,,,
Funchal / Madeira,PRT,2009,19.8,0.8,23.3,17.3,,,720,121,64,15.7,1019.1,2315,107
Lissabon,PRT,2009,17.5,0.7,21.7,14.1,35.7,1.4,1018,135,82,15.3,1016.6,2962,106
Helgoland,DEU,2009,10.2,1.1,12,8.5,25.2,-3.6,717,100,125,10.9,1013.5,1823,108
Hamburg-Fuhlsb.,DEU,2009,9.8,1.1,13.7,5.6,34.2,-12.5,750,97,133,9.7,1013.9,1738,112
Greifswald,DEU,2009,8.9,0.9,12.5,5.3,30.4,-16.1,570,101,112,9.9,1014,1813,104
Berlin-Tegel,DEU,2009,10.2,0.9,14.1,6,32.7,-17.1,525,95,114,9.5,1014.6,1810,112
Essen,DEU,2009,10.5,0.9,14.1,6.9,34.8,-14.1,947,102,150,10.1,1014.7,1667,115
Dresden,DEU,2009,9.5,0.6,13.3,5.7,30.8,-20.4,664,95,118,9.6,1015.1,1729,109
Frankfurt/Main,DEU,2009,10.9,1.3,15.4,6.4,36.4,-16.1,670,102,112,10.1,1015.4,1744,110
Stuttgart,DEU,2009,9.9,1.3,14.5,5.1,33.8,-15.4,766,107,118,9.7,1015.9,1817,108
München (Stadt),DEU,2009,9.9,0.7,14.5,5.9,35.2,-15.8,918,93,148,9.6,1015.7,1798,106
Zugspitze,DEU,2009,-4.2,0.6,-1.5,-6.7,14.4,-27.4,2071,103,192,3.9,,1835,99
Wien,AUT,2009,11,1.3,15,7.7,,,910,150,101,10.8,1015.2,2029,106
Innsbruck,AUT,2009,9.3,1.1,15.2,4.9,,,925,101,117,9.6,1016.1,2017,105
Sonnblick,AUT,2009,-4.8,0.9,-2.8,-6.5,,,2034,126,209,4.1,,1707,103
Prag,CZE,2009,9.1,1.2,13.4,5,33.4,-17,480,91,95,9.5,1015.7,1644,99
Brünn,CZE,2009,10.1,1.4,14.4,6,32.1,-16.1,564,116,103,9.8,1015.5,1759,104
Sliac,SVK,2009,9.5,1.5,15.4,4.2,34,-23.9,789,115,105,,,1990,120
Poprad,SVK,2009,7,1.2,12.4,1.9,31.7,-22.9,671,116,99,8.4,,2032,113
Elbing,POL,2009,8.4,0.8,12.3,4.7,,,684,99,123,9.3,1014.4,1867,121
Warschau,POL,2009,8.8,1.1,13,4.9,30.9,-21.9,654,126,114,9.4,1014.9,2256,98
Breslau,POL,2009,9.4,1,14.1,4.8,,,724,123,117,9.8,1015.2,1841,123
Budapest,HUN,2009,11.9,1.4,16.6,7.6,,,520,100,77,9.5,1015.8,2181,111
Debrecen,HUN,2009,11.6,1.8,16.7,6.8,,,486,86,91,9.9,1015.4,2220,112
Pecs,HUN,2009,11.9,1.5,16.7,7.6,,,626,101,93,10.2,1016.2,2097,100
Belgrad,SRB,2009,13.6,1.7,18.3,9.6,36.3,-11.5,805,118,96,11.2,1015.1,2161,107
Podgorica,MNE,2009,16.5,1.3,,,,,2082,125,117,,,,
Skopje,MKD,2009,13.1,,18.7,8.1,39,-14.1,631,,85,11,,2168,
Tirana,ALB,2009,17.1,1.9,21.6,12.6,37.7,-2.5,1381,112,106,14.4,,,
Ljubljana,SVN,2009,11.7,1.9,16.5,7.1,32.9,-13.1,1406,101,121,10.9,1015.6,1970,115
Zagreb,HRV,2009,13.3,2,17.7,9.6,35,-15.6,788,89,96,11.1,1014.9,1975,110
Split,HRV,2009,16.9,1.1,20.3,13.8,35,-2.6,994,121,94,12,1013.2,2568,99
Mostar,BIH,2009,15.7,1.2,21.1,11.3,38.9,-7.8,1862,130,116,11.6,1014.2,2415,105
Sarajevo,BIH,2009,10.7,1.3,16.6,6.4,36.1,-16,1066,116,126,10.5,1016.1,1902,106
Cluj,ROU,2009,10,1.8,15.9,5.2,33.2,-18.1,594,108,94,9.8,1016.2,2233,111
Timisoara,ROU,2009,12.3,1.6,18.4,7.2,35.2,-21.4,606,102,88,11,1015,1957,92
Sibiu,ROU,2009,10.3,1.7,16.5,4.9,32.8,-19.8,643,103,90,9.7,1015.3,1978,108
Sulina,ROU,2009,12.9,1.5,15.3,10.6,31.6,-9.9,302,108,43,12.5,1015,2506,119
Bukarest,ROU,2009,11.5,0.9,17.9,5.8,36.3,-15.6,631,106,81,9.9,1015.8,2105,100
Constanta,ROU,2009,13.2,1.6,16.9,10,34,-10,463,117,61,11.8,1015.3,2493,110
Varna,BGR,2009,13.4,1.4,18,9.9,,,635,133,70,12.6,1015,2556,129
Sofia,BGR,2009,10.9,1.2,16.6,6.3,36.7,-15,665,118,92,10,1015.4,2187,108
Triest,ITA,2009,15.8,1.6,,,,,910,87,98,,,2109,100
Pisa,ITA,2009,15.2,1.1,20.6,10.2,37.4,-6.4,,,,,,2565,113
Termoli,ITA,2009,17.5,,,,,,512,133,84,,,,
Grazzanise,ITA,2009,15.9,0.8,,,,,1066,119,93,,,,
Messina,ITA,2009,19.4,1.1,,,,,1355,163,108,,,,
